name,url
"Natural Resources and Environmental Science: Climate and Energy Solutions Concentration, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29657&returnto=22229
"Natural Resources and Environmental Science: Emerging Environmental Challenges Concentration, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29658&returnto=22229
"Natural Resources and Environmental Science: Environmental Policy and Analysis Concentration, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29659&returnto=22229
"Natural Resources and Environmental Science: Environmental Quality And Restoration Concentration, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29661&returnto=22229
"Natural Resources and Environmental Science: Sustainability Science Concentration, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=30982&returnto=22229
"Natural Resources and Environmental Science: Watershed Management Concentration, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29660&returnto=22229
Deans Scholar Certificate,https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29924&returnto=22229
Leadership Development Program Certificate,https://catalog.purdue.edu/preview_program.php?catoid=17&poid=31940&returnto=22229
Data Driven Agriculture Minor,https://catalog.purdue.edu/preview_program.php?catoid=17&poid=30908&returnto=22229
International Studies in Agriculture Minor,https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29655&returnto=22229
Natural Resources and Environmental Science Minor,https://catalog.purdue.edu/preview_program.php?catoid=17&poid=31874&returnto=22229
Plant Studies - Exploratory (Pre),https://catalog.purdue.edu/preview_program.php?catoid=17&poid=30410&returnto=22229
Pre-Veterinary Medicine,https://catalog.purdue.edu/preview_program.php?catoid=17&poid=30144&returnto=22229
"Agricultural Systems Management, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29663&returnto=22229
"Agricultural Systems Management: AgroSecurity, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=30418&returnto=22229
"Agricultural Systems Management: Data and Information Systems, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=30406&returnto=22229
"Agricultural Systems Management: Leadership and Management, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=30407&returnto=22229
"Agricultural Engineering, BSAGE",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29723&returnto=22229
"Environmental and Natural Resources Engineering, BSAGE",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29724&returnto=22229
"Biological Engineering, BSBE",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=30435&returnto=22229
Agricultural Systems Management Minor,https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29662&returnto=22229
Pre-Agricultural and Biological Engineering,https://catalog.purdue.edu/preview_program.php?catoid=17&poid=30220&returnto=22229
"Agribusiness: Agribusiness Management Concentration, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29665&returnto=22229
"Agribusiness: Agricultural Finance Concentration, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29667&returnto=22229
"Agribusiness: Agricultural Marketing Concentration, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29666&returnto=22229
"Agribusiness: Commodity Marketing Concentration, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29668&returnto=22229
"Agribusiness: Food Marketing Concentration, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29669&returnto=22229
"Agricultural Economics: Applied Agricultural Economics Concentration, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29671&returnto=22229
"Agricultural Economics: Data Analytics Concentration, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=31099&returnto=22229
"Agricultural Economics: Policy and Pre-Law Concentration, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=31100&returnto=22229
"Farm Management, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29672&returnto=22229
"Sales and Marketing, BS",https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29673&returnto=22229
Industrial Selling Certificate,https://catalog.purdue.edu/preview_program.php?catoid=17&poid=30253&returnto=22229
Farm Management Minor,https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29664&returnto=22229
Food and Agribusiness Management Minor,https://catalog.purdue.edu/preview_program.php?catoid=17&poid=29699&returnto=22229
