AP course,3,4,5
African-American Studies,AAS 1XUND,AAS 27100,AAS 27100
AP Research,UND 1XXXX,UND 1XXXX,UND 1XXXX
AP Seminar,UND 1XXXX,UND 1XXXX,UND 1XXXX
Art history,A&D 1XXXX,A&D 1XXXX,A&D 1XXXX
Biology,BIOL 1XXXX,BIOL 11000,BIOL 11000 & 11100
Calculus AB,MA 15555,MA 16500,MA 16500
Calculus BC,MA 15555,MA 16500 & 16600,MA 16500 & 16600
Calculus BC - AB (subscore),MA 15555,MA 16500,MA 16500
Chemistry,CHM 11100,CHM 11500 & 11600,CHM 11500 & 11600
Chinese language and culture,CHNS 10100 & 10200,"CHNS 10100, 10200 & 20100","CHNS 10100, 10200, 20100 & 20200"
Computer science A or AB,CS 1XXXX,CS 17700,CS 17700
Computer science principles,CS 1XXXX,CS 1XXXX,CS 17700
English language and composition,ENGL 1XXXX,ENGL 10600,ENGL 10600
English literature and composition,ENGL 1XXXX,ENGL 23100,ENGL 23100
Environmental science,EAPS 1XXXX,EAPS 12500,EAPS 12500
European history,HIST 1XXXX,HIST 10400,HIST 10400
French language,FR 10100 & 10200,"FR 10100, 10200 & 20100","FR 10100, 10200, 20100 & 20200"
German language,GER 10100 & 10200,"GER 10100, 10200 & 20100","GER 10100, 10200, 20100 & 20200"
Government and politics: comparative,POL 1XXXX,POL 14100,POL 14100
Government and politics: United States,POL 1XXXX,POL 10100,POL 10100
Human geography,EAPS 1XXXX,EAPS 12000,EAPS 12000
Italian language,ITAL 10100 & 10200,"ITAL 10100, 10200 & 20100","ITAL 10100, 10200, 20100 & 20200"
Japanese language and culture,JPNS 10100 & 10200,"JPNS 10100, 10200 & 20100","JPNS 10100, 10200, 20100 & 20200"
Latin,LATN 10100,LATN 10100 & ,LATN 10200,"LATN 10100, ","LATN 10200, & ",LATN 20100
Macroeconomics,ECON 2XXXXSee below*,ECON 25200
Microeconomics,ECON 2XXXXSee below*,ECON 25100
Music theory,MUSIC 1XXXX,MUSIC 1XXXX,MUSIC 1XXXX
Physics I,PHYS 1XXXX,PHYS 1XXXX,PHYS 22000
Physics II,PHYS 1XXXX,PHYS 1XXXX,PHYS 22100
Physics B,PHYS 1XXXX,PHYS 1XXXX,PHYS 22000 & 22100
Physics C: electricity and magnetism,PHYS 1XXXX,PHYS 1XXXX,PHYS 27200
Physics C: mechanics,PHYS 1XXXX,PHYS 1XXXX,PHYS 17200
Precalculus,MA 1XXXX,MA 15800,MA 15800
Psychology,PSY 1XXXX,PSY 12000,PSY 12000
Spanish language,"SPAN 10100, 10200 & 20100","SPAN 10100, 10200, 20100 & 20200","SPAN 10100, 10200, 20100, 20200 & 30100"
Spanish literature,SPAN 1XXXX,SPAN 24100,SPAN 24100
Statistics,STAT 1XXXX,STAT 30100,STAT 30100
Studio art: 2-D design,A&D 1XXXX,A&D 1XXXX,A&D 1XXXX
Studio art: 3-D design,A&D 1XXXX,A&D 1XXXX,A&D 1XXXX
Studio art: drawing,A&D 1XXXX,A&D 1XXXX,A&D 1XXXX
United States history,HIST 1XXXX,HIST 15100 & 15200,HIST 15100 & 15200
World history,HIST 1XXXX,HIST 10500,HIST 10500
