name,college,url
"Natural Resources and Environmental Science: Climate and Energy Solutions Concentration, BS",College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=29657
"Natural Resources and Environmental Science: Emerging Environmental Challenges Concentration, BS",College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=29658
"Natural Resources and Environmental Science: Environmental Policy and Analysis Concentration, BS",College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=29659
"Natural Resources and Environmental Science: Environmental Quality And Restoration Concentration, BS",College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=29661
"Natural Resources and Environmental Science: Sustainability Science Concentration, BS",College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=30982
"Natural Resources and Environmental Science: Watershed Management Concentration, BS",College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=29660
Deans Scholar Certificate,College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=29924
Leadership Development Program Certificate,College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=31940
Data Driven Agriculture Minor,College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=30908
International Studies in Agriculture Minor,College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=29655
Natural Resources and Environmental Science Minor,College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=31874
Plant Studies - Exploratory (Pre),College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=30410
Pre-Veterinary Medicine,College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=30144
"Agricultural Systems Management, BS",College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=29663
"Agricultural Systems Management: AgroSecurity, BS",College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=30418
"Agricultural Systems Management: Data and Information Systems, BS",College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=30406
"Agricultural Systems Management: Leadership and Management, BS",College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=30407
"Agricultural Engineering, BSAGE",College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=29723
"Environmental and Natural Resources Engineering, BSAGE",College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=29724
"Biological Engineering, BSBE",College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=30435
Agricultural Systems Management Minor,College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=29662
Pre-Agricultural and Biological Engineering,College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=30220
"Agribusiness: Agribusiness Management Concentration, BS",College of Agriculture (Undergraduate),https://catalog.purdue.edu/preview_degree_planner.php?catoid=17&poid=29665
